Model,MAE,RMSE,MAPE,sMAPE,R2,PredMean,ActualMean,Bias,Samples
Full Hybrid,0.018880367030137905,0.05990559084652056,79460.00313741887,111.74177140169657,0.997746486126453,0.7303397413266143,0.731184236015858,-0.0008444946892436471,123952
w/o Physics,0.018927073408906186,0.05990634750100821,84116.28034550868,112.04922966849131,0.9977464291988063,0.7303864482220537,0.731184236015858,-0.0007977877938043014,123952
Mean Average,0.021888874105485366,0.06396078797245269,236857.93686829405,112.89681687197192,0.9974310648855409,0.7336224326129959,0.731184236015858,0.0024381965971378523,123952
Equal Weights,0.02093720235360736,0.0639133733466916,141751.32262998144,112.84924544502127,0.9974348722166694,0.7326707608611178,0.731184236015858,0.0014865248452597911,123952
w/o Plant Adaptation,0.019361586420854195,0.06011610447674687,81057.8692223167,112.38016365556535,0.9977306201976279,0.7298585061655611,0.731184236015858,-0.0013257298502968825,123952
w/o Scene Adaptation,0.019059810777052925,0.06023893598418706,87849.97097285479,112.17194250733714,0.997721336957399,0.7303526470105945,0.731184236015858,-0.0008315890052634839,123952
w/o XGBoost,0.019259720596955607,0.05984547510571652,117399.58334544774,112.66928330567897,0.9977510066955871,0.7294241642893791,0.731184236015858,-0.0017600717264789096,123952
w/o DNN,0.020144876728696717,0.06124529673954539,76496.88636225139,112.0791306985317,0.9976445656155104,0.7284997003138468,0.731184236015858,-0.002684535702011256,123952
w/o TFT,0.023070446359487125,0.06782938431003777,155697.79108055407,113.08660130805805,0.997110908648934,0.7343835807565515,0.731184236015858,0.0031993447406935024,123952
Adaptive Blend,0.02183217902821088,0.06728142059304497,137211.15896981617,112.82561124204422,0.9971573994905688,0.7324165026081957,0.731184236015858,0.0012322665923376619,123952
Stacked XGB,0.030324751896240627,0.06735470292441541,476763.99671980063,113.62083827443685,0.9971512038473538,0.7239534322986747,0.731184236015858,-0.007230803717183293,123952
