Plant,Model,PhysicalViolationRate,NegativeRate,NightPositiveRate,NightPositiveRateOnNight,ViolationCount,NegativeCount,NightPositiveCount,NightSamples,Samples
AliceSprings_HighEfficiency_4A,Persistence,0.0,0.0,0.0,0.0,0,0,0,16135,30988
AliceSprings_HighEfficiency_4A,XGBoost,0.0,0.0,0.0,0.0,0,0,0,16135,30988
AliceSprings_HighEfficiency_4A,DNN,0.0012585516974312637,0.001194010584742481,6.454111268878275e-05,0.00012395413696932134,39,37,2,16135,30988
AliceSprings_HighEfficiency_4A,TFT,0.0,0.0,0.0,0.0,0,0,0,16135,30988
AliceSprings_HighEfficiency_4A,Hybrid,0.0009358461339873499,0.0009035755776429585,3.2270556344391374e-05,6.197706848466067e-05,29,28,1,16135,30988
AliceSprings_HighEfficiency_4A,AdaptiveBlend,3.2270556344391374e-05,0.0,3.2270556344391374e-05,6.197706848466067e-05,1,0,1,16135,30988
AliceSprings_HighEfficiency_4A,StackedXGB,0.0,0.0,0.0,0.0,0,0,0,16135,30988
AliceSprings_MonoTrack_1A,Persistence,0.0,0.0,0.0,0.0,0,0,0,16135,30988
AliceSprings_MonoTrack_1A,XGBoost,0.0034852200851942686,0.0,0.0034852200851942686,0.006693523396343353,108,0,108,16135,30988
AliceSprings_MonoTrack_1A,DNN,0.21737446753582032,0.21734219697947593,3.2270556344391374e-05,6.197706848466067e-05,6736,6735,1,16135,30988
AliceSprings_MonoTrack_1A,TFT,0.0,0.0,0.0,0.0,0,0,0,16135,30988
AliceSprings_MonoTrack_1A,Hybrid,3.2270556344391374e-05,3.2270556344391374e-05,0.0,0.0,1,1,0,16135,30988
AliceSprings_MonoTrack_1A,AdaptiveBlend,0.0010971989157093067,0.0010649283593649154,3.2270556344391374e-05,6.197706848466067e-05,34,33,1,16135,30988
AliceSprings_MonoTrack_1A,StackedXGB,3.2270556344391374e-05,0.0,3.2270556344391374e-05,6.197706848466067e-05,1,0,1,16135,30988
AliceSprings_PolyFixed_1C,Persistence,0.0,0.0,0.0,0.0,0,0,0,16135,30988
AliceSprings_PolyFixed_1C,XGBoost,0.004969665677036272,0.0,0.004969665677036272,0.009544468546637744,154,0,154,16135,30988
AliceSprings_PolyFixed_1C,DNN,0.1770040015489867,0.17697173099264232,3.2270556344391374e-05,6.197706848466067e-05,5485,5484,1,16135,30988
AliceSprings_PolyFixed_1C,TFT,3.2270556344391374e-05,3.2270556344391374e-05,0.0,0.0,1,1,0,16135,30988
AliceSprings_PolyFixed_1C,Hybrid,0.00019362333806634827,0.00019362333806634827,0.0,0.0,6,6,0,16135,30988
AliceSprings_PolyFixed_1C,AdaptiveBlend,0.001032657803020524,0.0010003872466761328,3.2270556344391374e-05,6.197706848466067e-05,32,31,1,16135,30988
AliceSprings_PolyFixed_1C,StackedXGB,3.2270556344391374e-05,0.0,3.2270556344391374e-05,6.197706848466067e-05,1,0,1,16135,30988
AliceSprings_PolyUtility_3A,Persistence,3.2270556344391374e-05,0.0,3.2270556344391374e-05,6.197706848466067e-05,1,0,1,16135,30988
AliceSprings_PolyUtility_3A,XGBoost,0.0,0.0,0.0,0.0,0,0,0,16135,30988
AliceSprings_PolyUtility_3A,DNN,0.0013230928101200465,0.0012585516974312637,6.454111268878275e-05,0.00012395413696932134,41,39,2,16135,30988
AliceSprings_PolyUtility_3A,TFT,0.0,0.0,0.0,0.0,0,0,0,16135,30988
AliceSprings_PolyUtility_3A,Hybrid,0.0008713050212985671,0.0008390344649541759,3.2270556344391374e-05,6.197706848466067e-05,27,26,1,16135,30988
AliceSprings_PolyUtility_3A,AdaptiveBlend,3.2270556344391374e-05,0.0,3.2270556344391374e-05,6.197706848466067e-05,1,0,1,16135,30988
AliceSprings_PolyUtility_3A,StackedXGB,0.0,0.0,0.0,0.0,0,0,0,16135,30988
