Window,TrainEndRatio,ValEndRatio,TestEndRatio,Model,MAE,RMSE,MAPE,sMAPE,R2,PredMean,ActualMean,Bias,Samples
Window_1,0.6,0.7,0.8,AdaptiveBlend,0.026029579588963,0.0831721804717221,98030.72331915075,101.49256352456648,0.9960295222618962,0.8116173208636,0.8093670465925957,0.0022502742710042,123948
Window_1,0.6,0.7,0.8,DNN,0.0323249309814402,0.088837899963939,314880.24470593367,103.31234150653796,0.9954701569140718,0.8147225713774917,0.8093670465925957,0.005355524784896,123948
Window_1,0.6,0.7,0.8,Hybrid,0.0251351265831993,0.0833939221693376,62586.54658077065,100.42039266101614,0.9960083230076704,0.8138505067046456,0.8093670465925957,0.0044834601120499,123948
Window_1,0.6,0.7,0.8,Persistence,0.0813105477989182,0.2744148606073273,20482.38479613025,10.115259211019213,0.956778300102216,0.8093692886620241,0.8093670465925957,2.2420694284961213e-06,123948
Window_1,0.6,0.7,0.8,StackedXGB,0.0275183922885241,0.0880234067774234,98483.83298143616,101.94400293458756,0.9955528381340232,0.8075601049170523,0.8093670465925957,-0.0018069416755432,123948
Window_1,0.6,0.7,0.8,TFT,0.0290564917112307,0.0858003139501876,103794.35017305234,102.4736809152457,0.9957746338891624,0.8093255987444915,0.8093670465925957,-4.144784810412597e-05,123948
Window_1,0.6,0.7,0.8,XGBoost,0.0326288710112574,0.0972740686091948,74633.4872835363,101.35716571051836,0.99456898811533,0.8195059230679803,0.8093670465925957,0.0101388764753848,123948
Window_2,0.7,0.8,0.9,AdaptiveBlend,0.0420570058809064,0.1745075822371355,44711.49870855774,116.64507885395562,0.9786303731699544,0.6311655770076006,0.6588678043119388,-0.0277022273043382,123948
Window_2,0.7,0.8,0.9,DNN,0.0389487419816695,0.1229577300037386,263396.38296058105,118.30532966259132,0.9893908641917402,0.645198864181571,0.6588678043119388,-0.0136689401303678,123948
Window_2,0.7,0.8,0.9,Hybrid,0.0368247270952039,0.1461839315696296,50949.99220907911,116.5708643897904,0.985004270040584,0.6380339573973943,0.6588678043119388,-0.0208338469145445,123948
Window_2,0.7,0.8,0.9,Persistence,0.0513612755286018,0.1765115820881033,1976.9564410255812,8.555412877136312,0.9781367485093486,0.6588678043119388,0.6588678043119388,0.0,123948
Window_2,0.7,0.8,0.9,StackedXGB,0.0463602106712306,0.1883708311078722,24632.31153834468,116.88086563899198,0.9751002123630662,0.623806692196382,0.6588678043119388,-0.0350611121155568,123948
Window_2,0.7,0.8,0.9,TFT,0.0456416314751085,0.1857445827099249,75612.116565629,118.0417101161158,0.9757896734148888,0.6270917290339886,0.6588678043119388,-0.0317760752779503,123948
Window_2,0.7,0.8,0.9,XGBoost,0.0391613375121148,0.1486535198939124,46574.62062396684,116.97208890959496,0.9844933234011664,0.6435085048844312,0.6588678043119388,-0.0153592994275077,123948
Window_3,0.8,0.9,1.0,AdaptiveBlend,0.024886510610801545,0.07522851632889639,232594.41609997017,113.00440468442625,0.9964462201748852,0.7306315155633216,0.731184236015858,-0.0005527204525364207,123952
Window_3,0.8,0.9,1.0,DNN,0.03354169097139859,0.06848976040883366,1051317.7410149479,114.56456805337412,0.9970543793339008,0.7244950319931324,0.731184236015858,-0.006689204022725632,123952
Window_3,0.8,0.9,1.0,Hybrid,0.021529711831296698,0.06446772382138934,132093.04147049703,113.12592942538863,0.9973901821470844,0.7343033709223007,0.731184236015858,0.0031191349064427147,123952
Window_3,0.8,0.9,1.0,Persistence,0.04967019284558519,0.1759503878078993,11299.145309773961,8.388068707505655,0.9805595648884937,0.7311764943097991,0.731184236015858,-7.74170605895426e-06,123952
Window_3,0.8,0.9,1.0,StackedXGB,0.029018459353687805,0.06713149061657864,428637.41152701125,113.72811967377521,0.9971700542817876,0.726491524420693,0.731184236015858,-0.004692711595164943,123952
Window_3,0.8,0.9,1.0,TFT,0.02683759161636911,0.07033156224255452,157972.22517324102,114.21171377987753,0.9968938240498858,0.734289280276799,0.731184236015858,0.003105044260940889,123952
Window_3,0.8,0.9,1.0,XGBoost,0.04260493204259882,0.08797443132293978,1100321.5750163896,114.83994467579714,0.9951399754779331,0.7364009257296118,0.731184236015858,0.005216689713753736,123952
